municipality,state,population,likely_website,likely_email,alt_emails,score,priority,target_persona,pain_points,value_proposition,next_action
"Palmetto Estates CDP, Florida",Florida,13498,"https://www.palmettoestates,florida.florida.gov","clerk@palmettoestates,florida.gov","info@palmettoestates,florida.gov; mayor@palmettoestates,florida.gov; citymanager@palmettoestates,florida.gov",50,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Andrews city, Texas",Texas,13487,"https://www.andrews,texas.texas.gov","clerk@andrews,texas.gov","info@andrews,texas.gov; mayor@andrews,texas.gov; citymanager@andrews,texas.gov",50,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Martinsville city, Virginia",Virginia,13485,"https://www.martinsville,virginia.virginia.gov","clerk@martinsville,virginia.gov","info@martinsville,virginia.gov; mayor@martinsville,virginia.gov; citymanager@martinsville,virginia.gov",60,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Kings Park West CDP, Virginia",Virginia,13465,"https://www.kingsparkwest,virginia.virginia.gov","clerk@kingsparkwest,virginia.gov","info@kingsparkwest,virginia.gov; mayor@kingsparkwest,virginia.gov; citymanager@kingsparkwest,virginia.gov",60,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"North Auburn CDP, California",California,13452,"https://www.northauburn,california.california.gov","clerk@northauburn,california.gov","info@northauburn,california.gov; mayor@northauburn,california.gov; citymanager@northauburn,california.gov",60,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Goldenrod CDP, Florida",Florida,13431,"https://www.goldenrod,florida.florida.gov","clerk@goldenrod,florida.gov","info@goldenrod,florida.gov; mayor@goldenrod,florida.gov; citymanager@goldenrod,florida.gov",50,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Fruita city, Colorado",Colorado,13395,"https://www.fruita,colorado.colorado.gov","clerk@fruita,colorado.gov","info@fruita,colorado.gov; mayor@fruita,colorado.gov; citymanager@fruita,colorado.gov",60,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Lewisville town, North Carolina",North Carolina,13381,"https://www.lewisville,northcarolina.northcarolina.gov","clerk@lewisville,northcarolina.gov","info@lewisville,northcarolina.gov; mayor@lewisville,northcarolina.gov; citymanager@lewisville,northcarolina.gov",60,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Kilgore city, Texas",Texas,13376,"https://www.kilgore,texas.texas.gov","clerk@kilgore,texas.gov","info@kilgore,texas.gov; mayor@kilgore,texas.gov; citymanager@kilgore,texas.gov",50,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Azle city, Texas",Texas,13369,"https://www.azle,texas.texas.gov","clerk@azle,texas.gov","info@azle,texas.gov; mayor@azle,texas.gov; citymanager@azle,texas.gov",50,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Palos Verdes Estates city, California",California,13347,"https://www.palosverdesestates,california.california.gov","clerk@palosverdesestates,california.gov","info@palosverdesestates,california.gov; mayor@palosverdesestates,california.gov; citymanager@palosverdesestates,california.gov",60,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"King City city, California",California,13332,"https://www.kingcity,california.california.gov","clerk@kingcity,california.gov","info@kingcity,california.gov; mayor@kingcity,california.gov; citymanager@kingcity,california.gov",60,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Palmetto city, Florida",Florida,13323,"https://www.palmetto,florida.florida.gov","clerk@palmetto,florida.gov","info@palmetto,florida.gov; mayor@palmetto,florida.gov; citymanager@palmetto,florida.gov",50,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Avocado Heights CDP, California",California,13317,"https://www.avocadoheights,california.california.gov","clerk@avocadoheights,california.gov","info@avocadoheights,california.gov; mayor@avocadoheights,california.gov; citymanager@avocadoheights,california.gov",60,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Henderson city, Texas",Texas,13271,"https://www.henderson,texas.texas.gov","clerk@henderson,texas.gov","info@henderson,texas.gov; mayor@henderson,texas.gov; citymanager@henderson,texas.gov",50,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Timberlake CDP, Virginia",Virginia,13267,"https://www.timberlake,virginia.virginia.gov","clerk@timberlake,virginia.gov","info@timberlake,virginia.gov; mayor@timberlake,virginia.gov; citymanager@timberlake,virginia.gov",60,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Carpinteria city, California",California,13264,"https://www.carpinteria,california.california.gov","clerk@carpinteria,california.gov","info@carpinteria,california.gov; mayor@carpinteria,california.gov; citymanager@carpinteria,california.gov",60,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Cheney city, Washington",Washington,13255,"https://www.cheney,washington.washington.gov","clerk@cheney,washington.gov","info@cheney,washington.gov; mayor@cheney,washington.gov; citymanager@cheney,washington.gov",60,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Steamboat Springs city, Colorado",Colorado,13224,"https://www.steamboatsprings,colorado.colorado.gov","clerk@steamboatsprings,colorado.gov","info@steamboatsprings,colorado.gov; mayor@steamboatsprings,colorado.gov; citymanager@steamboatsprings,colorado.gov",60,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
